	taxa	sample	mean	se	V1	V2	V3	V4	Time
451	log_CI_rel_mean	C1-G3-T2-TP6	0.717535266	NA	C1	G3	T2	TP6	54
452	log_Lac_rel_mean	C1-G3-T2-TP6	0.022498636	0.000591519320910991	C1	G3	T2	TP6	54
453	log_EF_rel_mean	C1-G3-T2-TP6	5.209980105	0.157429003838851	C1	G3	T2	TP6	54
454	log_EC_rel_mean	C1-G3-T2-TP6	2.36453378733333	0.888848136081725	C1	G3	T2	TP6	54
455	log_KP_rel_mean	C1-G3-T2-TP6	4.84573486866667	0.112098197096441	C1	G3	T2	TP6	54
466	log_CI_rel_mean	C1-G3-T2-TP12	2.042603172	NA	C1	G3	T2	TP12	60
467	log_Lac_rel_mean	C1-G3-T2-TP12	0.027392644	0.00687261902493009	C1	G3	T2	TP12	60
468	log_EF_rel_mean	C1-G3-T2-TP12	5.30257102833333	0.122896469241687	C1	G3	T2	TP12	60
469	log_EC_rel_mean	C1-G3-T2-TP12	3.28333701366667	0.664531738433514	C1	G3	T2	TP12	60
470	log_KP_rel_mean	C1-G3-T2-TP12	5.08736894566667	0.215431628979232	C1	G3	T2	TP12	60
481	log_CI_rel_mean	C1-G3-T2-TP24	2.0556309	NA	C1	G3	T2	TP24	72
482	log_Lac_rel_mean	C1-G3-T2-TP24	0.0664931846666667	0.0356256805145611	C1	G3	T2	TP24	72
483	log_EF_rel_mean	C1-G3-T2-TP24	4.93781219333333	0.357295584078739	C1	G3	T2	TP24	72
484	log_EC_rel_mean	C1-G3-T2-TP24	3.48359755333333	0.497309916148763	C1	G3	T2	TP24	72
485	log_KP_rel_mean	C1-G3-T2-TP24	5.16553083633333	0.275084780721721	C1	G3	T2	TP24	72
496	log_CI_rel_mean	C1-G3-T3-TP3	0.007951026	NA	C1	G3	T3	TP3	51
497	log_Lac_rel_mean	C1-G3-T3-TP3	0.007951026	NA	C1	G3	T3	TP3	51
498	log_EF_rel_mean	C1-G3-T3-TP3	2.864647985	NA	C1	G3	T3	TP3	51
499	log_EC_rel_mean	C1-G3-T3-TP3	1.184683167	NA	C1	G3	T3	TP3	51
500	log_KP_rel_mean	C1-G3-T3-TP3	4.207249156	NA	C1	G3	T3	TP3	51
511	log_CI_rel_mean	C1-G3-T3-TP6	0.033768556	NA	C1	G3	T3	TP6	54
512	log_Lac_rel_mean	C1-G3-T3-TP6	0.0249910146666667	0.00646756785087641	C1	G3	T3	TP6	54
513	log_EF_rel_mean	C1-G3-T3-TP6	4.998137902	0.139148111785394	C1	G3	T3	TP6	54
514	log_EC_rel_mean	C1-G3-T3-TP6	2.25309067866667	0.502040726817425	C1	G3	T3	TP6	54
515	log_KP_rel_mean	C1-G3-T3-TP6	5.10035877933333	0.200289032362496	C1	G3	T3	TP6	54
526	log_CI_rel_mean	C1-G3-T3-TP12	0.034332411	NA	C1	G3	T3	TP12	60
527	log_Lac_rel_mean	C1-G3-T3-TP12	0.027381156	0.00482588374349801	C1	G3	T3	TP12	60
528	log_EF_rel_mean	C1-G3-T3-TP12	5.12397329433333	0.170710282982841	C1	G3	T3	TP12	60
529	log_EC_rel_mean	C1-G3-T3-TP12	3.26408040566667	0.498054683497148	C1	G3	T3	TP12	60
530	log_KP_rel_mean	C1-G3-T3-TP12	5.31490053166667	0.195190098648853	C1	G3	T3	TP12	60
541	log_CI_rel_mean	C1-G3-T3-TP24	0.661884155	NA	C1	G3	T3	TP24	72
542	log_Lac_rel_mean	C1-G3-T3-TP24	0.0440398046666667	0.00773077885369119	C1	G3	T3	TP24	72
543	log_EF_rel_mean	C1-G3-T3-TP24	4.853743919	0.20396809451484	C1	G3	T3	TP24	72
544	log_EC_rel_mean	C1-G3-T3-TP24	3.26272382233333	0.315618422370239	C1	G3	T3	TP24	72
