Sample_ID	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time
C2-G3-T3-TP6-R1	C2-G3-T3-TP6	R1	401	347	351					54.0
C2-G3-T3-TP6-R2	C2-G3-T3-TP6	R2	382	332	332					54.0
C2-G3-T3-TP6-R3	C2-G3-T3-TP6	R3	308	258	258					54.0
C2-G3-T4-TP0-R1	C2-G3-T4-TP0	R1	53	0	3					48.1
C2-G3-T4-TP0-R2	C2-G3-T4-TP0	R2	49	0	-1					48.1
C2-G3-T4-TP0-R3	C2-G3-T4-TP0	R3	50	0	0					48.1
C2-G3-T4-TP12-R1	C2-G3-T4-TP12	R1	472	419	422					60.0
C2-G3-T4-TP12-R2	C2-G3-T4-TP12	R2	365	316	315					60.0
C2-G3-T4-TP12-R3	C2-G3-T4-TP12	R3	489	439	439					60.0
C2-G3-T4-TP24-R1	C2-G3-T4-TP24	R1	448	395	398					72.0
C2-G3-T4-TP24-R2	C2-G3-T4-TP24	R2	350	301	300					72.0
C2-G3-T4-TP24-R3	C2-G3-T4-TP24	R3	445	395	395					72.0
C2-G3-T4-TP3-R1	C2-G3-T4-TP3	R1	135	82	85					51.0
C2-G3-T4-TP3-R2	C2-G3-T4-TP3	R2	114	65	64					51.0
C2-G3-T4-TP3-R3	C2-G3-T4-TP3	R3	89	39	39					51.0
C2-G3-T4-TP6-R1	C2-G3-T4-TP6	R1	361	308	311					54.0
C2-G3-T4-TP6-R2	C2-G3-T4-TP6	R2	382	333	332					54.0
C2-G3-T4-TP6-R3	C2-G3-T4-TP6	R3	392	342	342					54.0
C3-G1-NA-TP0-R1	C3-G1-NA-TP0	R1	52	0	2					0.0
C3-G1-NA-TP0-R2	C3-G1-NA-TP0	R2	53	0	3					0.0
C3-G1-NA-TP0-R3	C3-G1-NA-TP0	R3	52	0	2					0.0
C3-G1-NA-TP12-R1	C3-G1-NA-TP12	R1	554	502	504					12.0
C3-G1-NA-TP12-R2	C3-G1-NA-TP12	R2	424	371	374					12.0
C3-G1-NA-TP12-R3	C3-G1-NA-TP12	R3	407	355	357					12.0
C3-G1-NA-TP24-R1	C3-G1-NA-TP24	R1	521	469	471					24.0
C3-G1-NA-TP24-R2	C3-G1-NA-TP24	R2	378	325	328					24.0
C3-G1-NA-TP24-R3	C3-G1-NA-TP24	R3	385	333	335					24.0
C3-G1-NA-TP3-R1	C3-G1-NA-TP3	R1	147	95	97					3.0
C3-G1-NA-TP3-R2	C3-G1-NA-TP3	R2	180	127	130					3.0
C3-G1-NA-TP3-R3	C3-G1-NA-TP3	R3	168	116	118					3.0
C3-G1-NA-TP6-R1	C3-G1-NA-TP6	R1	396	344	346					6.0
C3-G1-NA-TP6-R2	C3-G1-NA-TP6	R2	403	350	353					6.0
C3-G1-NA-TP6-R3	C3-G1-NA-TP6	R3	379	327	329					6.0
C3-G2-T1-TP0-R1	C3-G2-T1-TP0	R1	49	0	-1	90	-1.77	0.00		24.1
C3-G2-T1-TP0-R2	C3-G2-T1-TP0	R2	49	0	-1	87	-3.16	0.00		24.1
