	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
373	C4-G2-T2-TP12-R2	0.00030489	3.80E-05	0.419223339	0.580433768	0	C4-G2-T2-TP12	R2	422	372	372	111	7.93	6.93	NA	36	0.113418969	0.014137499	155.9510819	215.9213616	0	0.107435433	0.014038496	5.055934177	5.379534899	0
374	C4-G2-T2-TP12-R3	7.33E-05	7.33E-05	0.631960527	0.367892889	0	C4-G2-T2-TP12	R3	421	371	371	113	8.85	10.16	0.85	36	0.027191439	0.027191439	234.4573553	136.4882618	0	0.02682832	0.02682832	5.461529816	4.923538545	0
375	C4-G2-T2-TP24-R1	0.06037256	0.000163319	0.399800511	0.53966361	0	C4-G2-T2-TP24	R1	491	444	441	93	-0.39	2.31	0.28	48	26.80541683	0.072513474	177.511427	239.6106427	0	3.325230852	0.070004935	5.184652616	5.483180036	0
376	C4-G2-T2-TP24-R2	0.000165782	0.000165782	0.230358379	0.769310057	0	C4-G2-T2-TP24	R2	402	352	352	101	3.31	8.78	NA	48	0.058355438	0.058355438	81.08614923	270.7971399	0	0.056716229	0.056716229	4.407769296	5.605055979	0
377	C4-G2-T2-TP24-R3	0.000332033	8.26E-05	0.70474004	0.294845303	0	C4-G2-T2-TP24	R3	358	308	308	100	2.85	4.62	0.38	48	0.102266164	0.025448236	217.0599323	90.8123533	0	0.097368209	0.02512982	5.384769944	4.519746856	0
384	C4-G2-T3-TP0-R1	0.004761905	0.004761905	0.134126984	0.856349206	0	C4-G2-T3-TP0	R1	51	0	-2	283	87.38	88.69	1	24.1	0	0	0	0	0	0	0	0	0	0
385	C4-G2-T3-TP0-R2	0.000338868	0.009223275	0.047535341	0.942902515	0	C4-G2-T3-TP0	R2	54	0	1	331	109.55	97.46	1	24.1	0	0	0	0	0	0	0	0	0	0
386	C4-G2-T3-TP0-R3	0.003389831	0.003389831	0.003389831	0.989830508	0	C4-G2-T3-TP0	R3	53	0	0	318	103.55	102.08	1	24.1	0	0	0	0	0	0	0	0	0	0
393	C4-G2-T3-TP3-R1	0.004617651	0.000278474	0.072728009	0.922375865	0	C4-G2-T3-TP3	R1	57	6	4	278	85.07	87.3	0.98	27	0.027705908	0.001670844	0.436368056	5.534255191	0	0.027329045	0.001669449	0.362117744	1.877058368	0
394	C4-G2-T3-TP3-R2	0.000173551	0.000173551	0.021663223	0.977989676	0	C4-G2-T3-TP3	R2	69	15	16	323	105.86	111.32	1.14	27	0.002603263	0.002603263	0.324948338	14.66984514	0	0.00259988	0.00259988	0.281373469	2.751738174	0
395	C4-G2-T3-TP3-R3	0.000243546	0.000243546	0.648144914	0.351367993	0	C4-G2-T3-TP3	R3	60	7	7	323	105.86	105.32	1.03	27	0.001704822	0.001704822	4.537014401	2.459575954	0	0.001703371	0.001703371	1.711455439	1.241146025	0
396	C4-G2-T3-TP6-R1	8.43E-05	8.43E-05	0.288195616	0.71163575	0	C4-G2-T3-TP6	R1	258	207	205	294	92.46	93.77	1.06	30	0.017453626	0.017453626	59.65649241	147.3086003	0	0.017303061	0.017303061	4.105226677	4.99929524	0
397	C4-G2-T3-TP6-R2	5.96E-05	5.96E-05	0.081294037	0.918586802	0	C4-G2-T3-TP6	R2	159	105	106	329	108.63	85.45	0.88	30	0.006255958	0.006255958	8.535873852	96.45161423	0	0.006236471	0.006236471	2.255060882	4.579355991	0
398	C4-G2-T3-TP6-R3	4.83E-05	4.83E-05	0.614074306	0.385829159	0	C4-G2-T3-TP6	R3	183	130	130	312	100.77	103.47	1.01	30	0.006274737	0.006274737	79.82965984	50.15779069	0	0.006255133	0.006255133	4.392343975	3.934914791	0
